time,open,high,low,close,tick_volume
2024-03-22 08:00:00,2173.64,2176.32,2162.61,2167.98,22920
2024-03-22 12:00:00,2167.99,2176.3,2165.25,2174.59,24528
2024-03-22 16:00:00,2174.61,2180.17,2161.69,2162.63,35865
2024-03-22 20:00:00,2162.68,2167.25,2157.16,2165.27,15788
2024-03-25 00:00:00,2165.75,2169.46,2164.07,2165.57,9300
2024-03-25 04:00:00,2165.58,2178.37,2164.02,2169.46,21785
2024-03-25 08:00:00,2169.46,2171.12,2163.62,2165.75,19855
2024-03-25 12:00:00,2165.75,2177.08,2164.42,2174.55,23031
2024-03-25 16:00:00,2174.55,2181.32,2173.02,2175.83,30086
2024-03-25 20:00:00,2175.83,2176.67,2170.75,2171.73,12331
2024-03-26 00:00:00,2171.62,2174.52,2171.31,2173.93,6999
2024-03-26 04:00:00,2173.94,2174.4,2167.67,2172.36,15710
2024-03-26 08:00:00,2172.36,2179.28,2169.64,2178.33,18562
2024-03-26 12:00:00,2178.33,2200.13,2178.32,2187.97,31387
2024-03-26 16:00:00,2187.96,2192.93,2171.74,2176.82,38267
2024-03-26 20:00:00,2176.82,2179.26,2174.74,2178.63,14277
2024-03-27 00:00:00,2178.58,2180.21,2176.72,2177.48,5504
2024-03-27 04:00:00,2177.44,2181.76,2173.49,2178.43,12947
2024-03-27 08:00:00,2178.47,2182.72,2175.78,2177.45,14170
2024-03-27 12:00:00,2177.37,2197.64,2176.61,2186.15,29540
2024-03-27 16:00:00,2186.15,2195.24,2183.59,2192.52,33261
2024-03-27 20:00:00,2192.52,2195.22,2189.07,2194.88,14965
2024-03-28 00:00:00,2194.09,2194.64,2187.41,2189.1,7468
2024-03-28 04:00:00,2189.1,2196.92,2187.6,2195.69,13619
2024-03-28 08:00:00,2195.69,2200.67,2190.91,2194.83,18074
2024-03-28 12:00:00,2194.83,2216.98,2192.47,2215.72,32377
2024-03-28 16:00:00,2215.71,2225.51,2202.27,2220.36,43070
2024-03-28 20:00:00,2220.42,2236.24,2216.77,2232.88,17948
2024-04-01 00:00:00,2239.9,2256.42,2235.08,2250.09,17695
2024-04-01 04:00:00,2250.09,2265.71,2250.09,2260.39,22705
2024-04-01 08:00:00,2260.39,2263.44,2255.85,2257.27,15830
2024-04-01 12:00:00,2257.29,2258.4,2243.63,2252.58,23231
2024-04-01 16:00:00,2252.58,2257.92,2228.54,2238.13,46742
2024-04-01 20:00:00,2238.13,2251.39,2234.78,2251.31,15253
2024-04-02 00:00:00,2251.58,2255.9,2247.9,2250.44,10158
2024-04-02 04:00:00,2250.44,2259.89,2246.77,2256.72,19919
2024-04-02 08:00:00,2256.72,2262.85,2252.3,2261.15,22996
2024-04-02 12:00:00,2261.15,2266.85,2253.4,2257.62,28221
